Correct Choice,chatglm2-local
A,A
D,D
B,B
A,B
C,C
D,D
D,D
C,D
D,D
C,C
D,D
D,D
C,C
C,C
C,C
C,C
B,B
D,D
C,D
C,B
B,B
C,C
C,C
C,C
D,D
B,B
C,C
D,D
C,C
B,B
A,A
C,C
B,B
B,B
D,B
B,D
D,D
D,B
A,A
C,C
C,D
B,B
D,A
B,B
D,A
C,C
B,D
D,D
D,D
B,B
D,D
C,C
D,D
D,B
B,B
B,B
A,D
B,B
A,A
D,D
D,D
C,B
A,A
B,B
D,D
A,A
B,B
B,B
D,D
D,D
A,B
B,B
A,A
D,C
C,B
B,B
D,D
D,D
D,D
D,D
C,C
A,B
B,B
D,D
A,D
B,B
B,D
A,A
C,C
A,C
C,C
C,C
D,D
B,D
B,B
C,B
C,C
D,B
D,D
D,D
C,D
C,B
A,A
B,B
D,B
C,C
C,C
D,D
D,B
C,A
A,C
A,C
C,C
B,B
B,B
A,A
C,B
C,D
D,D
A,B
A,A
D,D
B,B
D,D
C,D
C,C
B,B
C,C
B,B
A,D
B,B
A,A
C,C
D,D
D,C
A,A
B,B
B,B
B,B
B,B
D,D
B,B
D,D
B,B
B,B
D,D
B,A
D,B
A,B
A,A
D,D
B,B
D,D
A,B
B,B
B,B
B,B
A,B
A,A
B,B
B,B
D,D
C,D
A,B
D,D
B,B
A,A
A,A
C,C
A,B
C,C
A,A
D,D
C,C
A,A
B,C
D,D
A,C
C,B
C,C
B,B
B,B
B,B
C,B
A,C
B,B
C,C
D,D
D,D
B,B
A,A
A,A
A,A
C,B
D,D
B,B
C,B
A,B
A,D
D,D
D,D
D,D
C,D
B,B
D,D
C,A
B,B
D,D
D,D
D,A
D,D
A,A
B,B
D,D
C,C
A,A
B,C
B,C
B,C
D,B
C,B
D,D
A,A
D,D
A,A
A,A
D,D
A,B
A,A
D,D
C,D
D,A
A,A
A,D
C,C
B,D
A,B
C,C
A,A
B,B
A,A
A,C
D,D
B,C
A,A
C,C
A,C
C,C
B,B
A,A
A,A
B,B
B,D
C,B
B,B
C,B
C,C
C,B
A,B
D,D
A,A
A,A
A,A
D,D
B,B
B,C
B,D
C,D
A,D
A,A
A,A
D,D
B,D
A,C
D,D
C,C
D,D
D,D
D,B
D,D
C,C
D,D
D,C
D,D
D,D
D,D
D,D
D,D
D,D
D,D
C,D
B,B
C,B
A,B
B,B
B,B
D,B
D,D
C,C
A,A
B,B
D,D
B,A
A,D
C,D
A,D
B,B
D,B
A,A
D,D
A,C
C,C
C,D
C,B
D,A
C,C
B,B
A,A
A,A
B,B
B,B
D,D
D,D
A,B
C,_
C,A
B,B
D,D
C,C
C,C
B,B
C,B
D,D
D,B
B,A
A,A
D,D
A,A
D,D
B,B
D,D
A,A
D,D
B,B
B,A
C,C
B,B
C,C
A,B
A,A
B,B
C,C
C,C
C,C
D,B
B,B
B,B
D,B
D,D
C,B
B,B
A,B
B,B
B,C
A,D
D,D
C,C
C,B
B,D
A,A
C,B
C,C
A,A
B,B
B,B
B,B
A,B
B,A
C,B
B,B
A,C
D,D
C,C
C,C
D,B
C,D
C,C
C,C
B,B
B,B
B,B
B,B
A,B
D,D
D,D
B,A
A,A
C,C
D,D
C,C
C,C
B,B
B,D
D,D
C,C
D,D
C,C
C,C
C,C
D,A
C,C
A,A
A,A
D,D
C,C
D,B
A,B
B,B
B,B
D,D
C,C
A,A
B,D
B,B
C,C
A,B
D,D
A,A
B,B
D,C
C,D
C,C
B,B
C,C
B,A
C,D
D,D
D,D
C,B
B,B
B,B
C,C
A,B
B,B
A,A
C,D
C,C
C,C
B,B
A,B
C,C
A,C
C,D
D,C
D,D
A,A
B,B
D,B
C,C
D,C
A,A
A,B
A,A
C,C
C,D
D,D
B,B
D,D
D,D
B,D
B,B
B,B
A,A
D,D
D,D
A,A
B,D
C,A
A,B
D,B
C,C
D,D
B,B
D,D
D,D
D,D
C,C
A,C
A,D
C,C
B,B
A,A
A,D
A,A
C,C
C,C
D,C
C,C
B,B
D,D
B,B
D,D
D,D
B,B
B,B
D,D
B,B
C,C
D,B
C,C
B,B
A,D
D,A
A,A
A,A
B,B
C,C
C,C
A,A
A,C
B,B
B,B
D,B
B,D
A,D
B,B
A,D
A,A
C,C
D,D
D,B
C,C
A,A
A,A
B,B
B,B
B,B
C,C
B,B
A,A
C,C
B,D
A,B
A,A
D,D
D,D
D,B
C,A
D,A
C,A
C,C
C,D
C,B
C,C
B,B
D,D
C,C
B,B
C,B
A,A
D,D
D,D
A,C
D,D
B,B
A,B
C,C
C,C
C,C
A,D
C,A
A,D
C,A
C,C
D,B
B,B
B,B
B,B
A,B
D,D
D,D
A,B
D,B
C,C
D,D
B,B
C,C
B,B
D,D
D,D
D,D
C,D
D,D
A,A
B,B
C,C
A,A
D,D
B,B
D,D
A,A
A,C
C,B
D,D
B,B
A,A
C,C
D,D
B,B
D,D
A,B
A,B
A,A
D,D
B,D
A,C
A,A
C,C
B,B
D,D
B,B
A,A
C,C
A,A
C,C
D,D
A,A
D,B
D,B
D,D
B,B
A,B
C,B
C,C
A,B
A,B
C,C
C,D
C,C
B,B
D,D
A,A
C,C
B,B
B,B
D,A
C,C
D,D
B,B
A,A
D,D
A,C
D,B
B,A
D,B
B,A
D,D
A,A
A,A
B,B
C,C
C,C
B,B
C,B
D,D
B,B
A,A
C,C
C,C
C,C
D,D
D,D
A,A
C,C
D,D
B,B
C,D
C,C
B,B
D,D
D,C
B,C
A,A
A,A
D,D
A,C
A,C
A,A
A,A
D,D
C,C
A,A
D,D
A,A
B,B
D,D
C,C
C,B
C,D
C,B
C,B
D,D
B,B
C,D
A,C
C,C
B,B
A,B
C,C
D,D
C,C
A,C
B,A
C,C
A,A
B,B
B,D
B,B
C,D
C,C
A,A
A,A
A,A
D,C
A,B
A,B
A,A
C,C
A,A
C,A
B,A
A,A
A,C
C,C
D,D
A,C
D,D
C,C
D,D
C,C
A,A
B,B
C,C
C,C
A,D
C,C
B,B
C,C
C,C
B,B
D,C
C,B
B,B
C,B
D,D
A,B
D,D
B,C
A,A
D,D
C,C
B,B
B,B
D,D
D,C
D,D
C,B
A,A
A,A
D,D
D,D
C,C
D,D
D,B
B,B
A,D
B,B
D,_
B,B
A,D
B,B
C,C
C,C
B,B
A,D
D,D
B,B
D,B
B,B
D,D
A,C
D,D
A,A
D,D
A,C
B,B
C,B
B,B
A,D
A,A
C,B
D,B
B,B
C,C
C,D
B,D
D,D
B,B
B,B
A,A
C,B
B,B
B,B
D,D
A,A
B,B
B,B
C,B
A,B
A,A
C,B
C,D
A,A
A,B
D,B
A,A
C,C
B,C
D,B
C,C
A,B
C,B
D,D
D,B
C,C
C,A
B,B
B,B
D,D
D,C
D,D
B,B
D,D
D,D
A,D
B,B
C,C
A,A
C,A
C,B
D,D
C,B
A,A
A,A
D,D
D,B
D,B
A,C
B,C
B,B
D,D
D,D
B,B
B,B
D,D
A,A
C,C
C,D
C,C
D,D
A,A
C,B
A,A
A,C
B,C
A,D
D,D
A,C
C,C
C,C
B,B
C,C
A,D
B,B
B,B
C,C
B,B
C,C
D,D
A,A
C,B
C,D
D,D
A,A
C,C
D,B
D,D
C,C
D,B
B,B
D,D
A,B
B,B
C,B
C,C
B,B
D,B
B,B
A,D
B,B
D,D
D,D
B,B
D,B
D,D
C,C
C,C
C,A
B,B
A,A
D,D
A,A
D,D
D,B
C,D
D,D
C,D
B,A
D,B
A,D
A,C
C,C
C,C
A,A
A,A
D,D
C,C
A,C
A,A
C,C
B,B
C,C
D,D
A,A
B,B
B,B
C,C
A,B
B,C
D,C
B,B
A,A
B,B
D,C
C,C
D,D
C,C
B,A
A,A
A,C
D,D
C,C
A,C
C,C
A,B
B,B
A,A
B,B
B,B
A,A
C,C
A,D
C,C
D,B
C,C
C,B
B,B
B,B
A,D
A,A
A,A
A,D
C,A
A,B
C,A
B,A
D,D
D,D
A,A
C,C
C,D
C,C
B,B
B,B
C,B
B,B
D,B
C,C
C,A
C,C
D,D
D,B
B,B
C,C
A,A
D,D
D,D
C,B
A,A
C,D
D,D
B,B
B,B
D,B
D,D
C,C
C,C
A,B
A,A
C,C
A,A
C,C
D,D
D,B
C,B
B,B
D,D
B,B
A,A
A,A
C,C
D,B
D,B
A,A
A,A
A,A
B,B
A,A
D,D
B,D
D,D
D,A
C,B
A,A
B,D
D,D
B,D
D,B
B,B
D,D
D,D
C,C
C,C
B,A
D,D
C,C
C,D
A,A
B,B
A,B
A,C
C,B
B,B
D,D
A,A
D,D
D,D
B,D
C,D
D,B
A,B
B,B
B,C
C,D
D,D
C,C
C,C
C,B
A,D
C,C
D,D
A,A
D,D
B,D
A,A
B,B
A,B
B,B
B,B
D,D
D,D
C,C
D,B
B,B
A,B
D,D
D,B
D,D
C,C
D,D
D,D
D,D
B,B
B,B
D,D
D,D
C,A
A,D
C,C
B,B
C,C
B,C
A,C
D,D
D,D
A,A
C,C
B,B
B,B
C,C
A,B
A,A
C,C
C,C
D,D
D,D
D,D
A,B
C,C
B,B
D,D
D,D
D,D
C,C
D,D
C,C
A,A
C,C
B,B
A,A
A,B
A,A
D,D
B,B
A,A
C,D
B,B
A,C
A,A
C,C
C,A
A,D
C,C
A,D
A,A
C,C
A,A
A,C
C,C
C,B
D,D
D,A
D,D
A,A
A,B
D,B
C,C
A,A
B,B
A,A
C,_
D,D
D,B
B,B
D,A
B,B
D,D
D,D
D,D
D,D
A,D
B,B
C,C
B,B
B,B
A,A
D,D
B,C
B,C
D,D
C,A
C,C
A,B
D,B
A,A
A,A
D,D
B,A
C,B
D,D
C,B
A,A
D,D
A,A
D,D
B,B
D,D
B,B
D,D
D,D
B,B
B,B
D,C
A,A
A,A
B,B
B,B
C,C
B,B
C,D
B,B
B,B
D,D
B,A
C,C
A,D
D,D
C,D
D,B
A,A
D,D
B,B
B,D
D,D
D,D
B,A
D,D
C,C
A,B
A,A
D,D
A,B
D,C
A,A
B,B
D,B
A,A
B,B
A,C
C,C
A,D
A,A
D,B
D,D
C,C
B,B
B,C
C,C
B,B
D,D
C,C
B,B
A,A
A,B
B,B
B,B
D,D
B,B
D,D
B,B
D,D
B,B
B,B
B,B
A,A
A,D
C,B
D,D
C,C
C,C
B,B
C,C
C,B
C,B
C,C
B,B
A,A
C,D
B,C
C,C
C,C
B,B
D,D
A,A
D,C
B,B
C,D
B,B
C,C
B,B
A,A
C,C
D,A
A,A
B,B
B,B
A,A
C,C
C,C
A,A
A,A
B,_
C,C
B,B
C,C
D,B
B,B
D,D
B,B
C,C
C,B
C,C
A,A
C,C
B,B
C,B
C,C
C,B
A,D
C,B
C,D
A,A
C,C
A,B
A,A
B,B
C,C
C,C
C,C
C,B
A,C
B,B
B,B
B,B
A,A
D,D
C,B
A,D
D,D
A,D
B,B
A,A
B,B
B,B
C,C
C,D
B,C
C,D
C,C
D,D
B,B
A,A
D,D
C,C
C,D
B,B
A,A
B,B
C,C
A,D
A,B
B,B
B,B
D,D
A,A
C,C
A,B
D,D
D,D
D,D
B,B
A,A
B,C
D,A
B,B
A,A
A,A
A,D
C,D
B,B
D,D
D,D
C,C
A,A
D,D
D,D
B,B
D,A
A,A
A,A
B,B
B,D
D,D
A,A
A,B
B,B
D,B
D,C
A,A
B,B
B,B
B,B
C,C
B,B
C,C
D,D
C,C
D,D
A,A
B,B
C,B
C,C
B,B
B,B
D,D
B,B
B,B
C,C
A,A
B,B
A,A
A,A
C,D
D,B
B,B
D,D
A,C
C,C
B,D
C,C
B,B
D,B
A,A
B,C
D,B
A,A
B,B
A,B
A,D
D,D
C,D
C,C
A,A
D,D
D,D
B,B
A,C
B,B
B,B
B,B
A,C
B,B
B,B
A,B
D,D
A,A
D,D
C,C
D,D
A,A
A,A
A,A
C,C
D,D
B,B
D,B
B,_
D,D
C,C
B,B
B,B
B,_
C,C
B,B
C,C
A,A
C,C
A,A
D,D
D,B
B,B
D,D
A,A
C,D
C,A
D,B
A,D
D,D
C,C
D,B
B,B
B,B
B,B
B,B
C,C
A,B
D,D
B,C
A,A
A,B
A,A
C,C
A,_
B,C
D,D
A,B
B,D
A,C
B,B
A,C
C,D
C,B
A,A
A,A
B,B
D,C
B,B
D,D
B,B
C,C
A,B
A,A
B,B
B,B
D,C
C,C
D,C
D,D
D,D
B,B
B,B
A,A
D,D
A,B
A,A
B,B
C,C
D,D
B,B
C,C
D,D
C,C
B,D
C,C
C,C
A,C
C,C
A,C
C,C
D,D
C,C
D,D
A,A
A,B
D,D
B,B
C,C
A,B
C,C
A,B
C,C
B,B
A,_
C,C
D,D
D,D
D,D
C,B
A,A
B,C
A,A
D,D
C,C
A,A
B,C
A,C
A,D
C,B
D,D
C,C
B,B
A,C
D,D
A,D
B,B
A,D
A,A
B,B
C,D
C,C
D,D
D,A
B,B
D,D
D,D
D,C
B,B
D,D
C,C
D,B
C,C
A,C
C,C
D,B
C,C
B,C
A,A
D,C
B,D
B,B
A,A
D,D
B,B
B,B
C,B
C,C
D,D
A,A
C,C
D,D
D,D
A,A
D,D
B,B
A,A
D,D
D,A
A,A
A,A
C,C
B,B
B,B
B,C
B,B
C,B
B,B
A,A
D,D
C,D
D,D
C,C
D,D
A,A
A,A
D,B
B,B
B,B
B,B
C,D
C,C
C,B
A,D
A,C
A,C
A,A
B,B
A,B
C,C
B,B
D,D
C,A
C,C
A,A
B,A
D,B
A,A
A,A
B,D
A,_
D,C
B,B
D,B
D,D
D,A
A,D
B,B
D,D
B,C
B,B
D,D
C,B
D,D
D,B
C,C
C,C
D,D
A,D
C,C
A,C
B,B
D,D
C,C
A,C
A,B
D,D
C,D
A,A
C,C
A,A
D,D
C,D
D,B
C,C
C,B
B,B
A,A
A,D
B,B
